Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
0.0,-0.18896368100179703,-0.18738706978266287,0.0,0.0,-0.5,-0.2962962962962963,0.089039719,0,0.0,0.26666666666666666,0.47518982871269644,0.6,0.0,-0.5,1.6,0,184966.9307298416
1.0,0.5454005906268454,0.3295300077838339,0.25,0.0,-0.5,0.037037037037037035,6.99893e-05,0,0.0,0.7,0.8871622814762493,-0.2,-4.125,0.0,2.6,0,300009.4500627274
0.0,-0.31481182126333246,-0.19933379815428248,-0.75,0.125,-0.125,-0.3333333333333333,0.049637257000000004,0,0.0,0.3,0.4368709164753664,-0.4,-4.19375,0.0,0.0,0,220925.90852358093
0.0,0.03386772231590796,0.9475798987643465,0.375,0.125,0.5,0.0,0.43788524,0,0.0,-0.06666666666666667,0.07946318205897934,0.2,1.15,-0.5,0.4,0,175616.22721724625
-1.0,-0.5346289797754664,-0.4635452825882553,0.125,0.5,-0.125,-0.037037037037037035,0.012338886,0,0.0,0.3333333333333333,0.08670316086879745,-0.2,7.3625,0.5,0.2,0,150226.5316437466
1.0,1.1552595449589014,0.6528435701769305,0.75,-0.25,0.5,1.2592592592592593,0.309479124,0,0.0,0.3333333333333333,0.42910118311848844,0.4,0.5625,-0.5,0.6,0,215898.4477421489
0.0,0.40312794431123083,0.1887278891191002,0.125,-0.5,-1.0,-0.6296296296296297,0.460556389,0,0.0,-0.16666666666666666,-0.1587497792689387,2.4,0.0,0.0,0.4,0,296021.2043771131
0.0,1.1522911711881243,0.8210439132800469,-0.75,0.875,-1.625,0.0,0.075778755,0,0.0,-0.6333333333333333,-0.6794984990287833,0.2,0.0,-0.5,-0.2,0,221244.15666358554
0.0,0.49677219507419224,0.34032514795288854,-0.625,0.25,0.5,0.0,0.0071223169999999995,0,0.0,-0.8,-0.8866325269291895,-0.4,0.0,-0.5,-0.4,0,229102.7959994131
-1.0,-0.25202665423834963,-0.7004251749810401,0.25,0.75,0.5,1.3703703703703705,0.075778755,0,0.0,-0.6333333333333333,-0.6794984990287833,0.2,0.0,-0.5,-0.2,0,95380.22099316985
0.0,-0.25851907943193425,-0.26147165818353674,0.0,0.125,-0.5,-0.14814814814814814,0.118537385,0,0.0,0.16666666666666666,0.16281123079639767,-0.2,1.76875,0.0,-0.6,0,204243.55312879704
